u,x1,x2,x3
-1,0.373,0.0554355,3.92036
-1,0.372,0.055808,3.92041
-1,0.371,0.0561795,3.92047
-1,0.37,0.05655,3.92053
-1,0.369,0.0569195,3.92058
-1,0.368,0.057288,3.92064
-1,0.367,0.0576555,3.9207
-1,0.366,0.058022,3.92075
-1,0.365,0.0583875,3.92081
-1,0.364,0.058752,3.92087
-1,0.363,0.0591155,3.92093
-1,0.362,0.059478,3.92099
-1,0.361,0.0598395,3.92105
-1,0.36,0.0602,3.92111
-1,0.359,0.0605595,3.92117
-1,0.358,0.060918,3.92123
-1,0.357,0.0612755,3.92129
-1,0.356,0.061632,3.92135
-1,0.355,0.0619875,3.92141
-1,0.354,0.062342,3.92148
-1,0.353,0.0626955,3.92154
-1,0.352,0.063048,3.9216
-1,0.351,0.0633995,3.92167
-1,0.35,0.06375,3.92173
-1,0.349,0.0640995,3.92179
-1,0.348,0.064448,3.92186
-1,0.347,0.0647955,3.92192
-1,0.346,0.065142,3.92199
-1,0.345,0.0654875,3.92205
-1,0.344,0.065832,3.92212
-1,0.343,0.0661755,3.92218
-1,0.342,0.066518,3.92225
-1,0.341,0.0668595,3.92232
-1,0.34,0.0672,3.92238
-1,0.339,0.0675395,3.92245
-1,0.338,0.067878,3.92252
-1,0.337,0.0682155,3.92259
-1,0.336,0.068552,3.92266
-1,0.335,0.0688875,3.92272
-1,0.334,0.069222,3.92279
-1,0.333,0.0695555,3.92286
-1,0.332,0.069888,3.92293
-1,0.331,0.0702195,3.923
-1,0.33,0.07055,3.92307
-1,0.329,0.0708795,3.92314
-1,0.328,0.071208,3.92321
-1,0.327,0.0715355,3.92329
-1,0.326,0.071862,3.92336
-1,0.325,0.0721875,3.92343
-1,0.324,0.072512,3.9235
-1,0.323,0.0728355,3.92357
-1,0.322,0.073158,3.92365
-1,0.321,0.0734795,3.92372
-1,0.32,0.0738,3.92379
-1,0.319,0.0741195,3.92387
-1,0.318,0.074438,3.92394
-1,0.317,0.0747555,3.92402
-1,0.316,0.075072,3.92409
-1,0.315,0.0753875,3.92417
-1,0.314,0.075702,3.92424
-1,0.313,0.0760155,3.92432
-1,0.312,0.076328,3.9244
-1,0.311,0.0766395,3.92447
-1,0.31,0.07695,3.92455
-1,0.309,0.0772595,3.92463
-1,0.308,0.077568,3.9247
-1,0.307,0.0778755,3.92478
-1,0.306,0.078182,3.92486
-1,0.305,0.0784875,3.92494
-1,0.304,0.078792,3.92502
-1,0.303,0.0790955,3.92509
-1,0.302,0.079398,3.92517
-1,0.301,0.0796995,3.92525
-1,0.3,0.08,3.92533
-1,0.299,0.0802995,3.92541
-1,0.298,0.080598,3.92549
-1,0.297,0.0808955,3.92557
-1,0.296,0.081192,3.92566
-1,0.295,0.0814875,3.92574
-1,0.294,0.081782,3.92582
-1,0.293,0.0820755,3.9259
-1,0.292,0.082368,3.92598
-1,0.291,0.0826595,3.92607
-1,0.29,0.08295,3.92615
-1,0.289,0.0832395,3.92623
-1,0.288,0.083528,3.92631
-1,0.287,0.0838155,3.9264
-1,0.286,0.084102,3.92648
-1,0.285,0.0843875,3.92657
-1,0.284,0.084672,3.92665
-1,0.283,0.0849555,3.92674
-1,0.282,0.085238,3.92682
-1,0.281,0.0855195,3.92691
-1,0.28,0.0858,3.92699
-1,0.279,0.0860795,3.92708
-1,0.278,0.086358,3.92716
-1,0.277,0.0866355,3.92725
-1,0.276,0.086912,3.92734
-1,0.275,0.0871875,3.92742
-1,0.274,0.087462,3.92751
-1,0.273,0.0877355,3.9276
-1,0.272,0.088008,3.92769
-1,0.271,0.0882795,3.92778
-1,0.27,0.08855,3.92786
-1,0.269,0.0888195,3.92795
-1,0.268,0.089088,3.92804
-1,0.267,0.0893555,3.92813
-1,0.266,0.089622,3.92822
-1,0.265,0.0898875,3.92831
-1,0.264,0.090152,3.9284
-1,0.263,0.0904155,3.92849
-1,0.262,0.090678,3.92858
-1,0.261,0.0909395,3.92867
-1,0.26,0.0912,3.92876
-1,0.259,0.0914595,3.92885
-1,0.258,0.091718,3.92895
-1,0.257,0.0919755,3.92904
-1,0.256,0.092232,3.92913
-1,0.255,0.0924875,3.92922
-1,0.254,0.092742,3.92931
-1,0.253,0.0929955,3.92941
-1,0.252,0.093248,3.9295
-1,0.251,0.0934995,3.92959
-1,0.25,0.09375,3.92969
-1,0.249,0.0939995,3.92978
-1,0.248,0.094248,3.92988
-1,0.247,0.0944955,3.92997
-1,0.246,0.094742,3.93006
-1,0.245,0.0949875,3.93016
-1,0.244,0.095232,3.93025
-1,0.243,0.0954755,3.93035
-1,0.242,0.095718,3.93045
-1,0.241,0.0959595,3.93054
-1,0.24,0.0962,3.93064
-1,0.239,0.0964395,3.93073
-1,0.238,0.096678,3.93083
-1,0.237,0.0969155,3.93093
-1,0.236,0.097152,3.93102
-1,0.235,0.0973875,3.93112
-1,0.234,0.097622,3.93122
-1,0.233,0.0978555,3.93132
-1,0.232,0.098088,3.93141
-1,0.231,0.0983195,3.93151
-1,0.23,0.09855,3.93161
-1,0.229,0.0987795,3.93171
-1,0.228,0.099008,3.93181
-1,0.227,0.0992355,3.93191
-1,0.226,0.099462,3.93201
-1,0.225,0.0996875,3.93211
-1,0.224,0.099912,3.93221
-1,0.223,0.100136,3.93231
-1,0.222,0.100358,3.93241
