u,x1,x2,x3
-1,0.481,0.0093195,3.91576
-1,0.48,0.0098,3.91577
-1,0.479,0.0102795,3.91578
-1,0.478,0.010758,3.91579
-1,0.477,0.0112355,3.9158
-1,0.476,0.011712,3.91581
-1,0.475,0.0121875,3.91582
-1,0.474,0.012662,3.91583
-1,0.473,0.0131355,3.91585
-1,0.472,0.013608,3.91586
-1,0.471,0.0140795,3.91587
-1,0.47,0.01455,3.91589
-1,0.469,0.0150195,3.9159
-1,0.468,0.015488,3.91592
-1,0.467,0.0159555,3.91593
-1,0.466,0.016422,3.91595
-1,0.465,0.0168875,3.91597
-1,0.464,0.017352,3.91598
-1,0.463,0.0178155,3.916
-1,0.462,0.018278,3.91602
-1,0.461,0.0187395,3.91604
-1,0.46,0.0192,3.91606
-1,0.459,0.0196595,3.91608
-1,0.458,0.020118,3.9161
-1,0.457,0.0205755,3.91612
-1,0.456,0.021032,3.91614
-1,0.455,0.0214875,3.91616
-1,0.454,0.021942,3.91618
-1,0.453,0.0223955,3.9162
-1,0.452,0.022848,3.91622
-1,0.451,0.0232995,3.91625
-1,0.45,0.02375,3.91627
-1,0.449,0.0241995,3.91629
-1,0.448,0.024648,3.91632
-1,0.447,0.0250955,3.91634
-1,0.446,0.025542,3.91637
-1,0.445,0.0259875,3.9164
-1,0.444,0.026432,3.91642
-1,0.443,0.0268755,3.91645
-1,0.442,0.027318,3.91648
-1,0.441,0.0277595,3.9165
-1,0.44,0.0282,3.91653
-1,0.439,0.0286395,3.91656
-1,0.438,0.029078,3.91659
-1,0.437,0.0295155,3.91662
-1,0.436,0.029952,3.91665
-1,0.435,0.0303875,3.91668
-1,0.434,0.030822,3.91671
-1,0.433,0.0312555,3.91674
-1,0.432,0.031688,3.91677
-1,0.431,0.0321195,3.9168
-1,0.43,0.03255,3.91683
-1,0.429,0.0329795,3.91687
-1,0.428,0.033408,3.9169
-1,0.427,0.0338355,3.91693
-1,0.426,0.034262,3.91697
-1,0.425,0.0346875,3.917
-1,0.424,0.035112,3.91704
-1,0.423,0.0355355,3.91707
-1,0.422,0.035958,3.91711
-1,0.421,0.0363795,3.91714
-1,0.42,0.0368,3.91718
-1,0.419,0.0372195,3.91722
-1,0.418,0.037638,3.91726
-1,0.417,0.0380555,3.91729
-1,0.416,0.038472,3.91733
-1,0.415,0.0388875,3.91737
-1,0.414,0.039302,3.91741
-1,0.413,0.0397155,3.91745
-1,0.412,0.040128,3.91749
-1,0.411,0.0405395,3.91753
-1,0.41,0.04095,3.91757
-1,0.409,0.0413595,3.91761
-1,0.408,0.041768,3.91765
-1,0.407,0.0421755,3.91769
-1,0.406,0.042582,3.91774
-1,0.405,0.0429875,3.91778
-1,0.404,0.043392,3.91782
-1,0.403,0.0437955,3.91787
-1,0.402,0.044198,3.91791
-1,0.401,0.0445995,3.91796
-1,0.4,0.045,3.918
-1,0.399,0.0453995,3.91805
-1,0.398,0.045798,3.91809
-1,0.397,0.0461955,3.91814
-1,0.396,0.046592,3.91818
-1,0.395,0.0469875,3.91823
-1,0.394,0.047382,3.91828
-1,0.393,0.0477755,3.91832
-1,0.392,0.048168,3.91837
-1,0.391,0.0485595,3.91842
-1,0.39,0.04895,3.91847
-1,0.389,0.0493395,3.91852
-1,0.388,0.049728,3.91857
-1,0.387,0.0501155,3.91862
-1,0.386,0.050502,3.91867
-1,0.385,0.0508875,3.91872
-1,0.384,0.051272,3.91877
-1,0.383,0.0516555,3.91882
-1,0.382,0.052038,3.91887
-1,0.381,0.0524195,3.91893
-1,0.38,0.0528,3.91898
-1,0.379,0.0531795,3.91903
-1,0.378,0.053558,3.91909
-1,0.377,0.0539355,3.91914
-1,0.376,0.054312,3.91919
-1,0.375,0.0546875,3.91925
-1,0.374,0.055062,3.9193
-1,0.373,0.0554355,3.91936
-1,0.372,0.055808,3.91941
-1,0.371,0.0561795,3.91947
-1,0.37,0.05655,3.91953
-1,0.369,0.0569195,3.91958
-1,0.368,0.057288,3.91964
-1,0.367,0.0576555,3.9197
-1,0.366,0.058022,3.91975
-1,0.365,0.0583875,3.91981
-1,0.364,0.058752,3.91987
-1,0.363,0.0591155,3.91993
-1,0.362,0.059478,3.91999
-1,0.361,0.0598395,3.92005
-1,0.36,0.0602,3.92011
-1,0.359,0.0605595,3.92017
-1,0.358,0.060918,3.92023
-1,0.357,0.0612755,3.92029
-1,0.356,0.061632,3.92035
-1,0.355,0.0619875,3.92041
-1,0.354,0.062342,3.92048
-1,0.353,0.0626955,3.92054
-1,0.352,0.063048,3.9206
-1,0.351,0.0633995,3.92067
-1,0.35,0.06375,3.92073
-1,0.349,0.0640995,3.92079
-1,0.348,0.064448,3.92086
-1,0.347,0.0647955,3.92092
-1,0.346,0.065142,3.92099
-1,0.345,0.0654875,3.92105
-1,0.344,0.065832,3.92112
-1,0.343,0.0661755,3.92118
-1,0.342,0.066518,3.92125
-1,0.341,0.0668595,3.92132
-1,0.34,0.0672,3.92138
-1,0.339,0.0675395,3.92145
-1,0.338,0.067878,3.92152
-1,0.337,0.0682155,3.92159
